Tier,PRIORITY,EXPEDITED,GROUND,Weight_Range
1,0,0,485,Less than 1 oz
2,0,0,408,1-2 oz
3,0,0,428,2-3 oz
4,0,0,3032,3-4 oz
5,0,0,5338,4-5 oz
6,0,0,7432,5-6 oz
7,0,0,8028,6-7 oz
8,0,0,8473,7-8 oz
9,0,0,3733,8-9 oz
10,0,0,2674,9-10 oz
11,0,0,2755,10-11 oz
12,0,0,4893,11-12 oz
13,0,0,7676,12-13 oz
14,0,0,3146,13-14 oz
15,0,0,3448,14-15 oz
16,0,0,4897,15-16 oz
17,0,0,36213,1-2 lbs
18,0,0,11880,2-3 lbs
19,0,0,6497,3-4 lbs
20,0,0,3512,4-5 lbs
21,0,0,2973,5-6 lbs
22,0,0,1963,6-7 lbs
23,0,0,1202,7-8 lbs
24,0,0,1134,8-9 lbs
25,0,0,956,9-10 lbs
26,0,0,722,10-11 lbs
27,0,0,615,11-12 lbs
28,0,0,488,12-13 lbs
29,0,0,436,13-14 lbs
30,0,0,250,14-15 lbs
31,0,0,268,15-16 lbs
32,0,0,256,16-17 lbs
33,0,0,219,17-18 lbs
34,0,0,607,18-19 lbs
35,0,0,256,19-20 lbs
36,0,0,207,20-21 lbs
37,0,0,165,21-22 lbs
38,0,0,203,22-23 lbs
39,0,0,223,23-24 lbs
40,0,0,213,24-25 lbs
41,0,0,3743,25-26 lbs
TOTAL,0,0,142047,Total All Tiers
